Code,Airport Name
AAC,Al Arish Egypt
AAE,Annaba Algeria
AAG,Arapoti Brazil
AAL,Aalborg Denmark
AAN,Al Ain United Arab Emirates
AAQ,Anapa Russia
AAR,Aarhus Denmark - Tirstrup
AAT,Altay China
AAY,Al Ghaydah Yemen
ABA,Abakan Russia
ABD,Abadan Iran
ABE,Allentown PA
ABE,Bethlehem PA
ABE,Easton PA
ASDBBSFSDFG,asfsdfg cd
,asdsdfas
sasdf,
asasdf,asdf,dfewe,4fv,se3
ABI,Abilene TX
ABJ,Abidjan Cote d'Ivoire
ABK,Kabri Dar Ethiopia
ABL,Ambler AK
ABM,Bamaga Australia
ABQ,Albuquerque NM
ABR,Aberdeen SD
ABS,Abu Simbel Egypt
ABT,Al-Baha Saudi Arabia
ABV,Abuja Nigeria
ABX,Albury Australia
ABZ,Aberdeen United Kingdom
ACA,Acapulco Mexico
ACC,Accra Ghana
ACE,Lanzarote Spain
ACH,Altenrhein Switzerland
ACI,Alderney United Kingdom
ACK,Nantucket MA
ACT,Waco TX
ACV,Arcata CA
ACV,Eureka/Arcata CA
ADA,Adana Turkey
ADB,Izmir Turkey
ADD,Addis Ababa Ethopia
ADE,Aden Yemen
ADJ,Amman Jordan - Civil/Marka Airport
ADK,Adak Island AK
ADL,Adelaide Australia
ADQ,Kodiak AK
ADU,Ardabil Iran
ADZ,San Andres Island Colombia
AEO,Aioun El Atrouss Mauritania
AEP,Buenos Aires Argentina - Jorge Newbery
AER,Adler/Sochi Russia
AES,Aalesund Norway
AET,Allakaket AK
AEX,Alexandria LA
AEY,Akureyri Iceland
AFA,San Rafael Argentina
AFT,Afutara Soloman Islands
AGA,Agadir Morocco
AGB,Augsburg/Munich Germany
AGD,Anggi Indonesia
AGE,Wangerooge Germany
AGF,Agen France
AGH,Argelholm/Helsingborg Sweden
AGJ,Aguni Japan
AGL,Wanigela Papua New Guinea
AGN,Angoon AK
AGP,Malaga Spain
AGR,Agra India
AGS,Augusta GA
AGT,Ciudad del Este Paraguay
AGU,Aguascalientes Mexico
AGV,Acarigua Venezuela
AHB,Abha Saudi Arabia
AHN,Athens GA
AHO,Alghero Italy
AHU,Al Hoceima Morocco
AIA,Alliance NE
AIC,Airok Marshall Islands
AIM,Ailuk Island Marshall Islands
AIN,Wainwright AK
AIT,Aitutaki Cook Islands
AIU,Atiu Island Cook Islands
AIY,Atlantic City NJ
AJA,Ajaccio France
AJF,Jouf Saudi Arabia
AJI,Agri Turkey
